round,loss,dice,dice1,dice2,dice3
178,1.0962117838859557,0.6437659,0.78868353,0.6035585,0.5390558
179,1.40280344247818,0.53847396,0.7049921,0.5100193,0.4004104
180,1.2258857011795044,0.59795225,0.7439853,0.5560333,0.49383804
181,1.2613134241104127,0.58619595,0.7527211,0.5665168,0.4393499
182,1.1551638174057006,0.6219748,0.7564937,0.59109914,0.5183315
183,1.2498959255218507,0.59266204,0.74608403,0.5333796,0.4985224
184,1.2878848147392272,0.5760288,0.7392309,0.5679644,0.42089114
185,1.2616420698165893,0.5888626,0.7498422,0.5111204,0.5056252
186,1.300623881816864,0.57179,0.75001746,0.533308,0.43204436
187,1.2498381185531615,0.5925108,0.7272108,0.5496725,0.50064903
188,1.181363570690155,0.6122904,0.7396163,0.56880724,0.5284476
189,1.122928638458252,0.6362024,0.7781958,0.57817364,0.55223763
190,1.219739360809326,0.59884924,0.74251556,0.5594091,0.49462295
191,1.2207346200942992,0.60078025,0.75298053,0.5823134,0.4670466
192,1.386321144104004,0.5443295,0.72130775,0.49026492,0.4214159
193,1.2407548761367797,0.5917798,0.7519082,0.568976,0.45445526
194,1.3795815658569337,0.547526,0.7429853,0.50935304,0.39023945
195,1.2407471990585328,0.5918763,0.7408537,0.57766217,0.457113
196,1.2355697965621948,0.59664,0.724593,0.54625076,0.51907617
197,1.2318231678009033,0.59767234,0.7331397,0.5626471,0.49723005
198,1.32236070394516,0.5656852,0.71500707,0.5450347,0.4370138
199,1.3005552196502685,0.5747888,0.7347611,0.5249788,0.46462658
200,1.2502415037155152,0.5897948,0.72887355,0.545288,0.49522284
