round,loss,dice,dice1,dice2,dice3
155,1.1313506770416124,0.6427872,0.5647538,0.5617183,0.80188966
156,0.9777671694755554,0.6987933,0.6159202,0.6740758,0.8063838
157,1.1510412135773156,0.6268756,0.56514865,0.53187907,0.78359896
158,0.990097991108189,0.7021707,0.5997154,0.68717134,0.81962526
159,1.058336827881943,0.65692323,0.60897875,0.5741175,0.78767353
160,1.0460706279122618,0.67624235,0.5812671,0.65544075,0.7920192
161,1.140042105017329,0.63409466,0.559825,0.58807683,0.75438213
162,1.0429320113193354,0.6703965,0.57277787,0.6440508,0.79436076
163,1.2099552747060562,0.61776274,0.5311636,0.5717778,0.75034684
164,1.054690993396488,0.6570741,0.5437369,0.64113146,0.7863538
165,1.0572501918267923,0.66989654,0.5708256,0.6414234,0.7974406
166,1.1476110974712486,0.6319608,0.5959309,0.5465961,0.7533554
167,1.1308274191512158,0.64654315,0.5862756,0.5769849,0.7763689
168,1.1601059697788847,0.6397326,0.6027873,0.51438284,0.8020277
169,1.0086235135970032,0.6787228,0.5654534,0.6603151,0.8103997
170,1.1743729347308007,0.6409885,0.5763007,0.55897564,0.78768915
171,0.987162057817335,0.68753624,0.58857465,0.6608617,0.8131723
172,1.1355683912892314,0.63520306,0.548132,0.5716556,0.7858215
173,1.068101125003318,0.6680469,0.5644553,0.6362371,0.80344814
174,1.0656046592272246,0.65729445,0.54402214,0.6291169,0.79874414
175,1.3023771273313896,0.590132,0.45289016,0.550765,0.7667408
176,1.0708633901099482,0.65618414,0.5426607,0.64540607,0.7804857
177,1.2927709595691523,0.592707,0.5544965,0.45529592,0.7683284
178,1.081061408011871,0.65701383,0.59663475,0.610242,0.76416475
179,1.1583742012639018,0.63798666,0.5933368,0.54065716,0.779966
180,1.0043437008321638,0.6805309,0.6020902,0.66124886,0.7782535
181,1.1044328988656489,0.6436308,0.5954002,0.56231886,0.7731732
182,0.9939133591905853,0.6880049,0.57300425,0.678251,0.81275934
183,1.2637923363397812,0.5907022,0.48057124,0.5135331,0.77800214
184,1.0157705111616462,0.6800891,0.52809393,0.6864397,0.8257336
185,1.1143442089035667,0.64583486,0.55636406,0.5910707,0.7900699
186,1.0938512615903595,0.6545222,0.5657712,0.6230332,0.77476215
187,1.0325699921190385,0.66637135,0.58450025,0.63370246,0.7809113
188,1.2107668988098055,0.61538136,0.5603879,0.5412522,0.74450386
189,1.0604705979838174,0.66215694,0.54816103,0.65161616,0.78669363
190,1.0756458657733081,0.6519189,0.5750989,0.5698075,0.8108503
191,0.9995329626918544,0.6905152,0.60197324,0.6713909,0.7981815
192,1.0855668973640578,0.646636,0.54052466,0.59758854,0.80179477
193,1.1572188237715049,0.6495568,0.6017243,0.6279743,0.71897167
194,1.0824372652014331,0.64758366,0.5349233,0.6208477,0.78698
195,1.2184981065388967,0.61441946,0.55996746,0.56733745,0.7159534
196,1.0444390481040322,0.666959,0.56602174,0.63105136,0.80380386
197,1.2510226767444046,0.594217,0.5049209,0.5421159,0.735614
198,1.0682034153910078,0.66188616,0.51570946,0.651706,0.8182431
199,1.1409498093396249,0.63620794,0.58087695,0.55754954,0.77019715
200,1.0667647416069663,0.6618018,0.5688998,0.61937076,0.79713494
