round,loss,dice,dice1,dice2,dice3
131,2.555644136306654,0.5424172,0.4852303,0.4924596,0.6495617
132,2.563121248394569,0.5367178,0.46744943,0.48987404,0.6528298
133,2.561419317306573,0.55002415,0.50172436,0.47646025,0.67188776
134,2.5519745426245857,0.5584752,0.49176785,0.5093777,0.67427987
135,2.5516677157310403,0.54041994,0.47982278,0.4910123,0.65042454
136,2.551306044079655,0.55366725,0.49418807,0.5141739,0.6526396
137,2.551269783244014,0.54850227,0.49703783,0.49799848,0.65047044
138,2.5542858054205193,0.5512845,0.49142167,0.5053357,0.6570961
139,2.558112938633169,0.5494527,0.49287182,0.4823214,0.6731649
140,2.5504734108880744,0.5556435,0.49193364,0.5157213,0.65927553
141,2.559465936070235,0.53515804,0.47787872,0.4852555,0.6423399
142,2.5556936594939317,0.5425668,0.48158145,0.50082976,0.6452892
143,2.557234014904796,0.53901064,0.4772631,0.49054378,0.6492249
144,2.55936219938285,0.5377307,0.47840816,0.48800817,0.6467758
145,2.5607164236998643,0.52430844,0.46756694,0.47636706,0.6289913
146,2.5544693122130697,0.54049003,0.47934872,0.50241935,0.6397019
147,2.5586717485108834,0.53046364,0.4653646,0.48273563,0.64329064
148,2.556289224862204,0.5340282,0.49174717,0.49057588,0.6197614
149,2.5646210514353687,0.53104514,0.47630805,0.46140492,0.65542233
150,2.5497276672689093,0.52997553,0.47763768,0.4998955,0.6123934
151,2.564568436442745,0.5406542,0.49069366,0.46780324,0.6634657
152,2.5490210047820283,0.5398325,0.4632874,0.51309586,0.64311415
153,2.5643199262245693,0.5308866,0.49716887,0.46331027,0.6321806
154,2.5541262872702712,0.5384957,0.48632997,0.5076428,0.6215144
155,2.557910816525225,0.52572894,0.48048216,0.48809668,0.6086079
156,2.558550639508882,0.5420979,0.47855374,0.5002241,0.64751583
157,2.561862570535246,0.5231179,0.47749057,0.47005194,0.6218111
158,2.5513272760601655,0.5305687,0.46882063,0.50605154,0.61683387
159,2.561071070063581,0.52402735,0.47383508,0.47404507,0.6242019
160,2.5617097034997363,0.52045166,0.45708978,0.4896237,0.61464155
161,2.558205470495801,0.5351566,0.4797393,0.4861834,0.63954693
162,2.5566396187208724,0.5280523,0.4627079,0.4961223,0.62532645
163,2.5614613901253698,0.5261378,0.47324765,0.47687745,0.6282883
164,2.5535182384409514,0.53199255,0.4649208,0.4965058,0.63455105
165,2.5658583454390014,0.52253056,0.47236556,0.470105,0.6251212
166,2.5618161713949728,0.5331963,0.47971585,0.4844519,0.63542104
167,2.5599316235538905,0.5199822,0.45383745,0.4876191,0.61849004
168,2.5658856956984226,0.5278115,0.47863048,0.47581437,0.6289896
169,2.5607913049514606,0.5141784,0.45924634,0.47980967,0.6034791
170,2.5656662767892207,0.5243752,0.46516162,0.47851807,0.6294459
171,2.5620146476501247,0.5226535,0.4541036,0.48698682,0.62687016
172,2.568837067410615,0.5209989,0.4737703,0.4592177,0.63000864
173,2.56381840383455,0.52799755,0.47281215,0.48428702,0.6268934
174,2.568633098195032,0.5147941,0.47284657,0.45942476,0.612111
175,2.562022029292965,0.53128815,0.47357357,0.48616582,0.634125
176,2.5655128803117417,0.52261823,0.46828327,0.47166643,0.6279049
177,2.5616065013451084,0.5327057,0.47872952,0.47884142,0.64054626
178,2.564202401137437,0.52509665,0.47721222,0.47259647,0.6254813
179,2.556933756824914,0.541114,0.48387352,0.48947105,0.6499973
180,2.562946916899223,0.5223002,0.47051626,0.47682706,0.61955714
181,2.5630648806426026,0.5157422,0.46741113,0.4742386,0.6055768
182,2.569772795850272,0.5169162,0.46291706,0.46592838,0.62190324
183,2.5651217423299877,0.5111275,0.46033296,0.47453058,0.5985189
184,2.5676969319475926,0.51845175,0.46299857,0.47140306,0.62095356
185,2.5649079343178096,0.5133776,0.4572495,0.47422165,0.60866165
186,2.5616836284827507,0.5299403,0.47395623,0.4847012,0.63116354
187,2.565552795484821,0.52191293,0.46409932,0.47651368,0.6251257
188,2.5625820312635756,0.526523,0.4768574,0.48207223,0.6206393
189,2.568728533503848,0.5117687,0.45085382,0.4636899,0.6207623
190,2.561766342760405,0.52624714,0.46718028,0.48527315,0.626288
191,2.574989643809634,0.5125593,0.46234456,0.45691645,0.61841685
192,2.5607029169903957,0.51885724,0.46027794,0.48069492,0.61559886
193,2.5739883561999775,0.5129262,0.46662158,0.46504438,0.60711265
194,2.56840400593985,0.5158665,0.4661977,0.46584517,0.6155568
195,2.5638003128703377,0.5258231,0.4683372,0.48173925,0.6273928
196,2.5744927676122806,0.50821996,0.46008426,0.4489142,0.6156614
197,2.5589971381150107,0.52723175,0.46387902,0.49298322,0.624833
198,2.568336373122137,0.5144293,0.4626448,0.4639779,0.6166651
199,2.5724486541069274,0.5127028,0.46142513,0.46412674,0.6125564
200,2.566857288740708,0.51006573,0.44620374,0.47245696,0.6115365
